waypoint_index,elapsed_seconds,delta_seconds,speed_kmh,x,y,z
921,46.399999999999444,0.04999999999999716,162.0740203857422,682.5811767578125,686.7472534179688,-0.7423166204243898
922,46.44999999999944,0.04999999999999716,162.57356872558594,680.6767578125,685.6867065429688,-0.7423165822401643
923,46.49999999999944,0.04999999999999716,163.07252655029296,678.7884521484375,684.6353759765625,-0.7423163533676416
924,46.49999999999944,0.04999999999999716,163.07252655029296,677.0401611328125,683.661865234375,-0.7423163915518671
925,46.549999999999436,0.04999999999999716,163.57089385986328,675.130615234375,682.5994262695312,-0.7423164296196774
926,46.59999999999943,0.04999999999999716,164.06857452392578,673.2427368164062,681.5475463867188,-0.7423162771156058
927,46.64999999999943,0.04999999999999716,164.565348815918,671.3389892578125,680.488037109375,-0.7423161244951189
928,46.69999999999943,0.04999999999999716,165.06103820800783,669.4193115234375,679.4188232421875,-0.7423162007471547
929,46.749999999999424,0.04999999999999716,165.55542297363283,667.5164184570312,678.3592529296875,-0.7423162007471547
930,46.79999999999942,0.04999999999999716,166.04832458496094,665.6065673828125,677.2960205078125,-0.7423159718746319
931,46.84999999999942,0.04999999999999716,166.5396469116211,663.8457641601562,676.3156127929688,-0.7423160482430831
932,46.899999999999416,0.04999999999999716,167.02933502197266,662.094970703125,675.3401489257812,-0.7423160100588575
933,46.94999999999941,0.04999999999999716,167.5174301147461,660.34326171875,674.3646240234375,-0.7423158574383706
934,46.99999999999941,0.04999999999999716,168.00398712158204,658.416259765625,673.2919311523438,-0.7423158956225961
935,47.04999999999941,0.04999999999999716,168.48912963867187,656.5078735351562,672.2279663085938,-0.7423158956225961
936,47.099999999999405,0.04999999999999716,168.97292633056642,654.7241821289062,671.2349243164062,-0.7423157430021092
937,47.1499999999994,0.04999999999999716,169.4556106567383,652.7996215820312,670.1641845703125,-0.7423157811863348
938,47.1999999999994,0.04999999999999716,169.93723754882814,650.9098510742188,669.1109008789062,-0.7423157048178837
939,47.249999999999396,0.04999999999999716,170.4179443359375,648.9963989257812,668.045166015625,-0.7423157430021092
940,47.249999999999396,0.04999999999999716,170.4179443359375,647.1124877929688,666.9965209960938,-0.7423157430021092
941,47.29999999999939,0.04999999999999716,170.89771728515626,645.2067260742188,665.9359130859375,-0.7423158574383706
942,47.34999999999939,0.04999999999999716,171.37673492431642,643.3223266601562,664.8859252929688,-0.7423156285658479
943,47.39999999999939,0.04999999999999716,171.8550247192383,641.4432373046875,663.8392333984375,-0.7423157811863348
944,47.449999999999385,0.04999999999999716,172.33254547119142,639.5513916015625,662.7859497070312,-0.7423155903816223
945,47.49999999999938,0.04999999999999716,172.8093246459961,637.67626953125,661.7420043945312,-0.7423153996933252
946,47.54999999999938,0.04999999999999716,173.2853210449219,635.7838745117188,660.6829833984375,-0.7423126912908629
947,47.54999999999938,0.04999999999999716,173.2853210449219,633.8876342773438,659.5838012695312,-0.7423145986394957
948,47.64999999999937,0.09999999999999432,174.23496551513674,632.022705078125,658.5112915039062,-0.7423157048178837
949,47.64999999999937,0.09999999999999432,174.23496551513674,630.1793823242188,657.4005126953125,-0.7423046041512862
950,47.69999999999937,0.04999999999999716,174.7085723876953,628.3280639648438,656.25537109375,-0.7423149037640542
951,47.74999999999937,0.04999999999999716,175.18128662109376,626.5057373046875,655.1375732421875,-0.7423129582311958
952,47.799999999999365,0.04999999999999716,175.6531219482422,624.6355590820312,654.0831298828125,-0.7423131108516827
953,47.84999999999936,0.04999999999999716,176.1240234375,622.7648315429688,653.0079956054688,-0.742316315183416
954,47.89999999999936,0.04999999999999716,176.59400482177736,620.9070434570312,651.9107055664062,-0.7423129582311958
955,47.89999999999936,0.04999999999999716,176.59400482177736,619.0673828125,650.8185424804688,-0.7423162007471547
956,47.949999999999356,0.04999999999999716,177.06302490234376,617.2235107421875,649.7243041992188,-0.7423167729284614
957,47.99999999999935,0.04999999999999716,177.5310836791992,615.3805541992188,648.6307983398438,-0.7423167729284614
958,48.04999999999935,0.04999999999999716,177.99815368652344,613.5301513671875,647.5328369140625,-0.7423166204243898
959,48.09999999999935,0.04999999999999716,178.46426239013672,611.654052734375,646.4194946289062,-0.7423166204243898
960,48.149999999999345,0.04999999999999716,178.9293960571289,609.7936401367188,645.3159790039062,-0.7423165059881285
961,48.19999999999934,0.04999999999999716,179.39354095458984,607.9262084960938,644.2078247070312,-0.7423163915518671
962,48.24999999999934,0.04999999999999716,179.85673828125002,606.0618896484375,643.1015625,-0.742316315183416
963,48.24999999999934,0.04999999999999716,179.85673828125002,604.3362426757812,642.0778198242188,-0.7423162007471547
964,48.299999999999336,0.04999999999999716,180.31896057128907,602.6425170898438,640.5009765625,0.0
965,48.34999999999933,0.04999999999999716,180.78018035888672,600.9219360351562,639.4813842773438,0.0
966,48.39999999999933,0.04999999999999716,181.2404800415039,599.2013549804688,638.4617919921875,0.0
967,48.44999999999933,0.04999999999999716,181.69981842041017,597.4807739257812,637.4421997070312,0.0
968,48.499999999999325,0.04999999999999716,182.15819549560547,595.7601928710938,636.422607421875,0.0
969,48.499999999999325,0.04999999999999716,182.15819549560547,594.0396118164062,635.4029541015625,0.0
970,48.54999999999932,0.04999999999999716,182.6155563354492,592.3190307617188,634.3833618164062,0.0
971,48.59999999999932,0.04999999999999716,183.07196960449218,590.598388671875,633.36376953125,0.0
972,48.64999999999932,0.04999999999999716,183.5274215698242,588.8778076171875,632.3441772460938,0.0
973,48.699999999999314,0.04999999999999716,183.9818572998047,587.1572265625,631.3245849609375,0.0
974,48.74999999999931,0.04999999999999716,184.43535919189455,585.4366455078125,630.3049926757812,0.0
975,48.74999999999931,0.04999999999999716,184.43535919189455,583.716064453125,629.285400390625,0.0
976,48.79999999999931,0.04999999999999716,184.88787231445312,581.9954833984375,628.2658081054688,0.0
977,48.849999999999305,0.04999999999999716,185.33942413330078,580.27490234375,627.2462158203125,0.0
978,48.8999999999993,0.04999999999999716,185.78998718261718,578.5543212890625,626.2265625,0.0
979,48.8999999999993,0.04999999999999716,185.78998718261718,576.833740234375,625.2069702148438,0.0
980,48.9499999999993,0.04999999999999716,186.23956146240235,575.1131591796875,624.1873779296875,0.0
981,48.9999999999993,0.04999999999999716,186.68811950683593,573.392578125,623.1677856445312,0.0
982,49.049999999999294,0.04999999999999716,187.13575744628906,571.6719970703125,622.148193359375,0.0
983,49.09999999999929,0.04999999999999716,187.5824203491211,569.9513549804688,621.1286010742188,0.0
984,49.09999999999929,0.04999999999999716,187.5824203491211,568.2307739257812,620.1090087890625,0.0
985,49.14999999999929,0.04999999999999716,188.0280944824219,566.5101928710938,619.0894165039062,0.0
986,49.199999999999285,0.04999999999999716,188.4728210449219,564.7896118164062,618.06982421875,0.0
987,49.24999999999928,0.04999999999999716,188.91655883789062,563.0690307617188,617.0501708984375,0.0
988,49.24999999999928,0.04999999999999716,188.91655883789062,561.3484497070312,616.0305786132812,0.0
989,49.29999999999928,0.04999999999999716,189.35930786132812,559.6278686523438,615.010986328125,0.0
990,49.34999999999928,0.04999999999999716,189.80115051269533,557.9072875976562,613.9913940429688,0.0
991,49.399999999999274,0.04999999999999716,190.24200439453125,556.1867065429688,612.9718017578125,0.0
992,49.399999999999274,0.04999999999999716,190.24200439453125,554.4661254882812,611.9522094726562,0.0
993,49.44999999999927,0.04999999999999716,190.68191070556642,552.7454833984375,610.9326171875,0.0
994,49.49999999999927,0.04999999999999716,191.1208282470703,551.02490234375,609.9130249023438,0.0
995,49.549999999999265,0.04999999999999716,191.5586883544922,549.3043212890625,608.8934326171875,0.0
996,49.549999999999265,0.04999999999999716,191.5586883544922,547.583740234375,607.8738403320312,0.0
997,49.59999999999926,0.04999999999999716,191.99547729492187,545.8631591796875,606.8541870117188,0.0
